word_to_rate,choices,multiple_choices_allowed,randomize_choices,min_choice,max_choice
cougzer,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
cruckwic,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
galmmic,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
gricker ,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
flissil,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
flenia,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
heonia,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
chalial,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
bomburg,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
globlor,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
horgous,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
sogung,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
ackie,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
accrel,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
chalish,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
chithet,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
knitick,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
keppick,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
axittic,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
keex,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
boodoma,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
goomon,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
ambous,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
dobulum,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
word,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
couzger,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4
cruckwic,"['feminine', 'masculine', 'sharp', 'rounded', 'small', 'large']",True,False,1,4